miRNA,mRNA
hsa-miR-621,GRPEL2
hsa-miR-621,MIER3
hsa-miR-621,FOXO3
hsa-miR-3609,CAV1
hsa-miR-573,ZKSCAN5
hsa-miR-573,RAD23B
hsa-miR-4477b,GTF3C4
hsa-miR-3609,AKAP17A
hsa-miR-573,KAT6B
hsa-miR-4477b,TPM4
hsa-miR-3609,ZNF714
hsa-miR-3609,FNBP1L
hsa-miR-573,RAB32
hsa-miR-573,ZNF264
hsa-miR-3609,FOXC1
hsa-miR-3609,LAPTM4B
hsa-miR-3609,SCD
hsa-miR-4477b,BUB3
hsa-miR-573,ARID5B
hsa-miR-3609,SAMD8
hsa-miR-568,ATP2A2
hsa-miR-621,PAWR
hsa-miR-1299,SESN2
hsa-miR-568,AKIRIN1
hsa-miR-621,ALDH1A2
hsa-miR-1255a,KCTD5
hsa-miR-3609,NFAT5
hsa-miR-4477b,TERF2IP
hsa-miR-621,MAF
hsa-miR-573,DCAF7
hsa-miR-3167,TPM4
hsa-miR-3609,TPM4
hsa-miR-3609,BCL2L11
hsa-miR-568,CRIM1
hsa-miR-1299,B3GNT2
hsa-miR-3609,NPNT
hsa-miR-3609,ISOC1
hsa-miR-568,C5orf24
hsa-miR-1255a,ITGA2
hsa-miR-568,MIER3
hsa-miR-3609,OCLN
hsa-miR-3609,NUS1
hsa-miR-421,ID4
hsa-miR-573,E2F3
hsa-miR-1299,CCDC71L
hsa-miR-4705,KIAA1549
hsa-miR-573,STAM
hsa-miR-568,AIMP1
hsa-miR-3609,PAFAH1B2
hsa-miR-568,SPPL3
hsa-miR-3167,TOMM20
hsa-miR-3609,STMN1
hsa-miR-1299,TMPO
hsa-miR-3609,ATP6V0B
hsa-miR-3609,SRSF11
hsa-miR-568,RAC3
hsa-miR-3609,SGMS2
hsa-miR-4705,MIER3
hsa-miR-4477b,TAOK1
hsa-miR-4705,GOLGA8A
hsa-miR-621,MARVELD2
hsa-miR-1255a,HIPK1
hsa-miR-3609,RLIM
hsa-miR-573,MCAM
hsa-miR-421,FOXO4
hsa-miR-573,ARHGAP26
hsa-miR-4477b,SEPT3
hsa-miR-1255a,C1orf109
hsa-miR-1299,BACE2
hsa-miR-3167,NDRG1
hsa-miR-4705,NDRG1
hsa-miR-3609,NRIP3
hsa-miR-573,OR2D2
hsa-miR-3609,LLPH
hsa-miR-1267,C12orf73
hsa-miR-573,TRIQK
hsa-miR-3167,ABCG2
hsa-miR-573,CLCN3
hsa-miR-3609,SREK1IP1
hsa-miR-3609,ZNF623
hsa-miR-4477b,UNC5C
hsa-miR-1255a,GAS7
hsa-miR-568,TMEM251
hsa-miR-1299,DCAF4
hsa-miR-1299,CD274
hsa-miR-573,PLXDC2
hsa-miR-3609,TBC1D8
hsa-miR-568,PCCA
hsa-miR-1255a,POFUT1
hsa-miR-621,PABPC1L2B
hsa-miR-621,PABPC1L2A
hsa-miR-568,TBX18
hsa-miR-1267,TBX18
hsa-miR-573,BRCC3
