miRNA,mRNA
hsa-miR-4705,IBA57
hsa-miR-1299,R3HDM2
hsa-miR-1267,RGS9BP
hsa-miR-1267,OLA1
hsa-miR-1267,SLC1A5
hsa-miR-1267,PLXDC2
hsa-miR-421,CD226
hsa-miR-1267,CRK
hsa-miR-1255a,SLC1A1
hsa-miR-3609,OSTM1
hsa-miR-1267,ERVMER34-1
hsa-miR-1299,EPB41
hsa-miR-421,TET1
hsa-miR-573,PITPNB
hsa-miR-3609,USP32
hsa-miR-4477b,MYADM
hsa-miR-1267,C18orf21
hsa-miR-1267,ZNF829
hsa-miR-4705,KANSL3
hsa-miR-4705,ABCC12
hsa-miR-421,ZNF208
hsa-miR-1299,PIGS
hsa-miR-4477b,NEBL
hsa-miR-1267,DFFA
hsa-miR-1267,ORAI2
hsa-miR-1267,DZIP1L
hsa-miR-1299,FAIM2
hsa-miR-1267,NFX1
hsa-miR-3167,RGS5
hsa-miR-568,TRIP10
hsa-miR-4477b,C15orf40
hsa-miR-421,POLG
hsa-miR-1267,TEP1
hsa-miR-4705,PTCD3
hsa-miR-4705,DUSP4
hsa-miR-3167,WASF2
hsa-miR-4705,RWDD1
hsa-miR-1267,RPS6KA5
hsa-miR-1299,RBMS3
hsa-miR-1299,RBM23
hsa-miR-1267,PEX26
hsa-miR-573,PCP4L1
hsa-miR-421,NPTX1
hsa-miR-421,NFE2L1
hsa-miR-1299,NDST1
hsa-miR-1299,MYRF
hsa-miR-4477b,MYO10
hsa-miR-573,MARK1
hsa-miR-421,KCNN3
hsa-miR-421,KCNMB4
hsa-miR-4477b,JARID2
hsa-miR-3167,EMP2
hsa-miR-4477b,EIF5A2
hsa-miR-1267,DPY19L4
hsa-miR-4705,CUL3
hsa-miR-1299,CD226
hsa-miR-4477b,BLOC1S5
hsa-miR-4477b,ANAPC1
hsa-miR-4705,BMPR1B
hsa-miR-4705,NFKBID
hsa-miR-1267,MTAP
hsa-miR-1267,MCM8
hsa-miR-1267,MRI1
hsa-miR-1267,HSD17B12
hsa-miR-3167,METTL16
hsa-miR-3609,LIAS
hsa-miR-1267,PTCD3
hsa-miR-4477b,ZBTB3
hsa-miR-1299,TIAF1
hsa-miR-1267,TCEANC2
hsa-miR-4705,SMARCC1
hsa-miR-1267,SBNO1
hsa-miR-1267,RNF170
hsa-miR-1267,RBM23
hsa-miR-573,MYO5A
hsa-miR-1299,MYO18A
hsa-miR-1267,MAPK14
hsa-miR-1267,KDELR1
hsa-miR-1267,ESYT2
hsa-miR-1267,CNKSR3
hsa-miR-1267,CEP128
hsa-miR-1267,ELP2
hsa-miR-1267,CD226
hsa-miR-1255a,FUS
hsa-miR-1267,UBE2V2
hsa-miR-1267,LRRC2
hsa-miR-1267,C1orf50
hsa-miR-1267,UBE2G2
hsa-miR-1267,PLA2G16
hsa-miR-1267,DCTN6
hsa-miR-3687,ATXN3
hsa-miR-1267,RBBP4
hsa-miR-1267,SLC16A1
hsa-miR-3687,TTPAL
hsa-miR-1267,SNAP29
hsa-miR-568,JAK2
hsa-miR-1299,GTF3C4
hsa-miR-1267,KIAA1143
hsa-miR-568,KATNAL1
hsa-miR-3609,CPS1
hsa-miR-3167,PGPEP1
hsa-miR-421,SOD2
hsa-miR-4705,ZMYM1
hsa-miR-3609,THEM4
hsa-miR-3167,ZNF707
hsa-miR-421,ZFP64
hsa-miR-1267,HNRNPA1L2
hsa-miR-3609,RBMXL1
hsa-miR-1299,TFRC
hsa-miR-4705,TFRC
hsa-miR-1299,SSR2
hsa-miR-3167,SSR2
hsa-miR-3609,SFT2D2
hsa-miR-4477b,RUFY2
hsa-miR-568,RUFY2
hsa-miR-3167,RPP25
hsa-miR-4477b,RNF38
hsa-miR-3167,RFWD3
hsa-miR-573,RABGEF1
hsa-miR-1299,PPP1R11
hsa-miR-421,NEGR1
hsa-miR-3609,MINK1
hsa-miR-4705,LEPROT
hsa-miR-1267,HNRNPA1
hsa-miR-3609,HIPK3
hsa-miR-3609,HIF1A
hsa-miR-621,CTPS1
hsa-miR-1267,CPEB4
hsa-miR-421,COL4A1
hsa-miR-1267,C5orf15
hsa-miR-421,BAHD1
hsa-miR-1299,ATP1B3
hsa-miR-4705,ASH1L
hsa-miR-1267,GPR155
hsa-miR-1267,ANKRD36
hsa-miR-1267,ST3GAL1
hsa-miR-1267,THAP6
hsa-miR-1267,FANCC
hsa-miR-1267,MED29
hsa-miR-1299,TMEM184B
hsa-miR-568,CHORDC1
hsa-miR-1267,SLC25A12
hsa-miR-4705,NLGN1
hsa-miR-573,C3orf18
hsa-miR-568,SLC35F6
hsa-miR-1267,BTD
hsa-miR-1267,CYYR1
hsa-miR-3687,GDF7
hsa-miR-621,COX6B1
hsa-miR-421,CCDC39
hsa-miR-1267,ZFP30
hsa-miR-573,MED8
hsa-miR-4705,RPL10A
hsa-miR-421,BACE1
hsa-miR-1267,BACE1
hsa-miR-1255a,KAT7
hsa-miR-573,FKTN
hsa-miR-568,STRN
hsa-miR-621,STRN
hsa-miR-421,MAZ
hsa-miR-4477b,PSME4
hsa-miR-1299,TMEM151A
hsa-miR-3167,PYGO1
hsa-miR-1267,NR2F6
hsa-miR-1255a,CAMK4
hsa-miR-3687,FLYWCH1
hsa-miR-1267,SERP1
hsa-miR-4477b,ZBTB8B
hsa-miR-421,TLK1
hsa-miR-1299,BEND6
hsa-miR-573,ANKRD6
hsa-miR-4705,PABPC1
hsa-miR-4705,CGN
hsa-miR-4705,RBM28
hsa-miR-3609,PEA15
hsa-miR-421,CDH1
hsa-miR-421,SIRT3
hsa-miR-573,FGFR1
hsa-miR-1255a,AGO2
hsa-miR-1255a,DCXR
hsa-miR-1255a,EIF5A
hsa-miR-1255a,FAM102A
hsa-miR-1255a,FOXP4
hsa-miR-1255a,HDGF
hsa-miR-1255a,HIC2
hsa-miR-1255a,NUP62
hsa-miR-1255a,PISD
hsa-miR-1255a,PTK7
hsa-miR-1255a,PXN
hsa-miR-1255a,SPATA2
hsa-miR-1255a,SRD5A3
hsa-miR-1255a,STK10
hsa-miR-1255a,TPI1
hsa-miR-1255a,UBL5
hsa-miR-1255a,YWHAZ
hsa-miR-1255a,ZFP91
hsa-miR-1267,ATP6V0E1
hsa-miR-1267,KDM6B
hsa-miR-1299,AMBRA1
hsa-miR-1299,BSG
hsa-miR-1299,HLA-C
hsa-miR-1299,IQSEC2
hsa-miR-1299,NACC2
hsa-miR-1299,NCLN
hsa-miR-1299,YY1
hsa-miR-1299,ZSWIM4
hsa-miR-3167,AGAP1
hsa-miR-3167,AURKA
hsa-miR-3167,C1RL
hsa-miR-3167,MAOB
hsa-miR-3167,TMX2
hsa-miR-3609,COL1A1
hsa-miR-3609,FOXK1
hsa-miR-3609,SATB2
hsa-miR-3687,AMH
hsa-miR-3687,TMEM246
hsa-miR-3687,U2AF2
hsa-miR-421,E2F6
hsa-miR-421,SCD
hsa-miR-4477b,EIF1AD
hsa-miR-4477b,KDM2A
hsa-miR-4477b,NUCKS1
hsa-miR-4705,CDK2
hsa-miR-573,CPSF7
hsa-miR-573,DMTN
hsa-miR-573,LARP1
hsa-miR-573,SLC25A23
hsa-miR-621,AMMECR1L
hsa-miR-621,C22orf39
hsa-miR-621,CCDC127
hsa-miR-1255a,HTR5A-AS1
hsa-miR-1255a,ITGA3
hsa-miR-1255a,YWHAB
hsa-miR-1267,ALOX5AP
hsa-miR-1267,CCDC170
hsa-miR-1267,CISD2
hsa-miR-1267,COQ7
hsa-miR-1267,GRSF1
hsa-miR-1267,NUDT3
hsa-miR-1267,PRPF38A
hsa-miR-1267,SMAD2
hsa-miR-1267,ZNF154
hsa-miR-1267,ZNF713
hsa-miR-1299,CANX
hsa-miR-1299,CLCN3
hsa-miR-1299,MLXIP
hsa-miR-3167,CAPZA1
hsa-miR-3167,SLC10A3
hsa-miR-3167,TAPBP
hsa-miR-3609,ARL5A
hsa-miR-3609,DSEL
hsa-miR-3609,EVC
hsa-miR-3609,GLB1L3
hsa-miR-3609,HCCS
hsa-miR-3609,IRAK2
hsa-miR-3609,MDM4
hsa-miR-3609,NCLN
hsa-miR-3609,NR3C1
hsa-miR-3609,PMAIP1
hsa-miR-3609,SESN1
hsa-miR-3687,LDLR
hsa-miR-3687,MFGE8
hsa-miR-421,AP1G1
hsa-miR-421,DGKH
hsa-miR-421,GMNN
hsa-miR-421,LSM4
hsa-miR-421,RIMS4
hsa-miR-421,SPINT2
hsa-miR-421,ZNF219
hsa-miR-4477b,AIDA
hsa-miR-4477b,B3GALNT2
hsa-miR-4477b,KPNA4
hsa-miR-4477b,MDH2
hsa-miR-4477b,NAA10
hsa-miR-4477b,PSENEN
hsa-miR-4477b,RHOF
hsa-miR-4477b,SPRYD4
hsa-miR-4477b,TCAIM
hsa-miR-4705,DBT
hsa-miR-4705,ZMYM4
hsa-miR-4705,ZNF555
hsa-miR-568,BNC2
hsa-miR-573,HCCS
hsa-miR-573,HCFC1
hsa-miR-573,PCGF3
hsa-miR-573,TMEM44
hsa-miR-573,ZBTB34
hsa-miR-573,ZNF18
hsa-miR-621,CDK6
hsa-miR-621,FAM49A
hsa-miR-1255a,NKAIN1
hsa-miR-1255a,NMNAT2
hsa-miR-1255a,ST18
hsa-miR-1267,AKAP5
hsa-miR-1267,ATP5F1
hsa-miR-1267,BTBD19
hsa-miR-1267,CERS4
hsa-miR-1267,ISPD
hsa-miR-1267,LSM10
hsa-miR-1267,MAGT1
hsa-miR-1267,NFKBIB
hsa-miR-1267,NUP62
hsa-miR-1267,PDE3A
hsa-miR-1267,PRKAR2A
hsa-miR-1267,PSMB9
hsa-miR-1267,PTPN14
hsa-miR-1267,PTPN2
hsa-miR-1267,SCIN
hsa-miR-1267,SF3A1
hsa-miR-1267,TIMM50
hsa-miR-1267,WEE1
hsa-miR-1267,ZNF446
hsa-miR-1299,NDRG4
hsa-miR-1299,TRIM56
hsa-miR-3167,ANO8
hsa-miR-3167,ATP5F1
hsa-miR-3167,PPM1K
hsa-miR-3167,PTPN14
hsa-miR-3167,ZNF277
hsa-miR-3167,ZNF502
hsa-miR-4477b,ARSD
hsa-miR-4477b,NT5C2
hsa-miR-4477b,OSBPL6
hsa-miR-573,CNTF
hsa-miR-573,GLRA2
hsa-miR-573,LDHA
hsa-miR-1267,ERC1
hsa-miR-1299,DPY19L3
hsa-miR-1299,SLC30A4
hsa-miR-3609,CPE
hsa-miR-3609,PFKFB3
hsa-miR-421,RGS2
hsa-miR-621,PATZ1
hsa-miR-421,NFYA
hsa-miR-1299,KDM1A
hsa-miR-1299,UPF1
hsa-miR-4705,FBXL3
hsa-miR-421,GDE1
hsa-miR-4705,TMEM98
hsa-miR-1299,AP2B1
hsa-miR-3687,RALA
hsa-miR-421,PHTF2
hsa-miR-1267,KIAA0100
hsa-miR-1267,MYLIP
hsa-miR-1255a,JARID2
hsa-miR-421,CYTH3
hsa-miR-421,NFIX
hsa-miR-1267,SEC62
hsa-miR-1267,CSDE1
hsa-miR-421,CSDE1
hsa-miR-3687,UBE3C
hsa-miR-621,UBE3C
hsa-miR-3609,REV3L
hsa-miR-1299,BAZ1B
hsa-miR-421,ZNF207
hsa-miR-1267,NCAPD2
hsa-miR-421,ZNF200
hsa-miR-3609,TCEB3
hsa-miR-421,BTBD7
hsa-miR-1299,WIZ
hsa-miR-3687,SLC25A39
hsa-miR-1255a,MVP
hsa-miR-421,MATR3
hsa-miR-1299,RALBP1
hsa-miR-421,NDUFS1
hsa-miR-421,AKAP11
hsa-miR-1299,CD44
hsa-miR-3609,NUP160
hsa-miR-1267,CENPQ
hsa-miR-1255a,PIAS1
hsa-miR-421,SLC4A7
hsa-miR-573,NSMAF
hsa-miR-421,TIMP2
hsa-miR-421,TBC1D23
hsa-miR-573,CUL3
hsa-miR-1299,ZZZ3
hsa-miR-421,TLL1
hsa-miR-1267,VCAN
hsa-miR-573,RAI14
hsa-miR-1299,RTN4R
hsa-miR-3687,PHF23
hsa-miR-4705,PHF23
hsa-miR-4705,LSG1
hsa-miR-4705,TNC
hsa-miR-421,CTNNA1
hsa-miR-573,CTNNA1
hsa-miR-573,HSPA5
hsa-miR-421,FAM214A
hsa-miR-3687,MAP4
hsa-miR-3609,CELF2
hsa-miR-421,LTBP1
hsa-miR-4705,HERPUD1
hsa-miR-421,AKR7A2
hsa-miR-421,ARID4B
hsa-miR-421,FOXC1
hsa-miR-4705,SYNE2
hsa-miR-421,RELT
hsa-miR-421,FAM114A2
hsa-miR-421,CYFIP2
hsa-miR-421,KMT2C
hsa-miR-1255a,PUM2
hsa-miR-3609,PUM2
hsa-miR-1299,ZFR
hsa-miR-573,TRAF3IP2
hsa-miR-1255a,ATP11B
hsa-miR-421,ZC3H11A
hsa-miR-421,UNKL
hsa-miR-421,WNK1
hsa-miR-573,WNK1
hsa-miR-421,NCKAP1
hsa-miR-3687,TNK2
hsa-miR-621,EIF4B
hsa-miR-421,RPL18
hsa-miR-1299,HIPK2
hsa-miR-421,HIPK2
hsa-miR-1299,SLC12A2
hsa-miR-421,GNAI3
hsa-miR-421,IPO5
hsa-miR-3609,PKN2
hsa-miR-421,SPEN
hsa-miR-1299,MAP2K4
hsa-miR-573,ASB1
hsa-miR-421,SMARCD1
hsa-miR-1267,ARFGEF1
hsa-miR-421,DDX3Y
hsa-miR-421,ACSL4
hsa-miR-4705,KIF2A
hsa-miR-1255a,NUCKS1
hsa-miR-1267,NUCKS1
hsa-miR-421,NUCKS1
hsa-miR-4705,NUCKS1
hsa-miR-1267,RORA
hsa-miR-421,RORA
hsa-miR-4705,TGFBR3
hsa-miR-1299,EXOC5
hsa-miR-421,EXOC5
hsa-miR-573,EXOC5
hsa-miR-3687,MNT
hsa-miR-421,CSNK2A2
hsa-miR-1267,RAD18
hsa-miR-1299,MAP4K4
hsa-miR-1299,SEL1L
hsa-miR-421,SEL1L
hsa-miR-421,TFRC
hsa-miR-573,TFRC
hsa-miR-4705,AFF4
hsa-miR-4705,SMC1A
hsa-miR-1299,FBXW11
hsa-miR-421,FBXW11
hsa-miR-1255a,XRCC1
hsa-miR-421,KDM5A
hsa-miR-621,PTGS2
hsa-miR-421,MAP3K13
hsa-miR-421,IPCEF1
hsa-miR-421,NUP37
hsa-miR-4705,SEMA3C
hsa-miR-1267,ZNF638
hsa-miR-421,ZNF638
hsa-miR-421,SLC25A3
hsa-miR-1299,FNDC3B
hsa-miR-573,FNDC3B
hsa-miR-3687,ACTB
hsa-miR-4705,ACTB
hsa-miR-4705,KIFAP3
hsa-miR-4705,MKRN2
hsa-miR-421,MAP2K7
hsa-miR-421,TOP2B
hsa-miR-4705,TOP2B
hsa-miR-421,UBE2T
hsa-miR-1299,IL4R
hsa-miR-421,FBLN1
hsa-miR-573,UBE2K
hsa-miR-421,NRD1
hsa-miR-1299,PCM1
hsa-miR-573,CBFA2T2
hsa-miR-421,RUNX1T1
hsa-miR-4705,KIF22
hsa-miR-573,DDX1
hsa-miR-421,RAB21
hsa-miR-1299,SMARCA2
hsa-miR-1299,ARG2
hsa-miR-4705,DUSP12
hsa-miR-1299,BZW1
hsa-miR-1299,EPB41L3
hsa-miR-421,GEMIN5
hsa-miR-3687,NFE2L1
hsa-miR-1299,ERC1
hsa-miR-421,TNPO1
hsa-miR-4705,TNPO1
hsa-miR-573,TNPO1
hsa-miR-421,RRAGB
hsa-miR-421,ZNF264
hsa-miR-4705,ZNF264
hsa-miR-621,ZNF264
hsa-miR-1267,FAT1
hsa-miR-1299,FAT1
hsa-miR-4705,APLP2
hsa-miR-573,WBP11
hsa-miR-573,WDFY1
hsa-miR-421,SLC25A24
hsa-miR-421,MAP3K4
hsa-miR-1299,CTTN
hsa-miR-1255a,EIF2AK1
hsa-miR-573,HUWE1
hsa-miR-3609,NLK
hsa-miR-573,ADD1
hsa-miR-573,ERGIC2
hsa-miR-421,KHSRP
hsa-miR-1299,EPB41L1
hsa-miR-573,ANKRD10
hsa-miR-4705,COQ9
hsa-miR-4705,CRLS1
hsa-miR-4705,C20orf194
hsa-miR-421,PXN
hsa-miR-3687,NOS1
hsa-miR-421,ZBTB25
hsa-miR-421,PAPOLA
hsa-miR-1267,ICAM1
hsa-miR-1299,STRN4
hsa-miR-4705,PDPR
hsa-miR-421,TNRC6A
hsa-miR-4705,TNRC6A
hsa-miR-4705,OSBPL8
hsa-miR-1299,HECTD1
hsa-miR-573,HNRNPC
hsa-miR-573,CDC23
hsa-miR-3609,CBX5
hsa-miR-4705,CBX5
hsa-miR-421,BRPF3
hsa-miR-3687,HSP90AB1
hsa-miR-421,HSP90AB1
hsa-miR-421,SIRT1
hsa-miR-4705,HNRNPH3
hsa-miR-3609,PPIL2
hsa-miR-1267,DEPDC5
hsa-miR-421,DDX17
hsa-miR-573,DDX17
hsa-miR-1299,TCF20
hsa-miR-421,TCF20
hsa-miR-421,RTCB
hsa-miR-4705,TIMP3
hsa-miR-573,TTLL12
hsa-miR-421,ASCC2
hsa-miR-1299,MYH9
hsa-miR-421,RANGAP1
hsa-miR-4705,KHNYN
hsa-miR-421,AP4S1
hsa-miR-4705,SPTLC2
hsa-miR-621,DHRS7
hsa-miR-1267,ERH
hsa-miR-1267,DICER1
hsa-miR-421,DICER1
hsa-miR-1299,PCNX
hsa-miR-421,GSKIP
hsa-miR-1299,TRIP11
hsa-miR-1267,PABPN1
hsa-miR-3687,PABPN1
hsa-miR-421,TPD52L2
hsa-miR-3687,HRH3
hsa-miR-421,DIDO1
hsa-miR-4705,CSNK2A1
hsa-miR-421,SNPH
hsa-miR-4705,POFUT1
hsa-miR-3609,ADNP2
hsa-miR-1267,ANKRD12
hsa-miR-4705,MID1
hsa-miR-421,GLRA2
hsa-miR-421,PGK1
hsa-miR-421,FNDC3A
hsa-miR-421,MGRN1
hsa-miR-1267,ZNF629
hsa-miR-421,NFAT5
hsa-miR-621,HAS3
hsa-miR-421,SLC7A6
hsa-miR-421,HSDL1
hsa-miR-3687,STUB1
hsa-miR-1267,PIEZO1
hsa-miR-421,GSPT1
hsa-miR-1267,MAZ
hsa-miR-1267,KNOP1
hsa-miR-3687,BMF
hsa-miR-421,BLOC1S6
hsa-miR-4705,FZD3
hsa-miR-1299,NBN
hsa-miR-4705,IMPAD1
hsa-miR-1267,UBE2W
hsa-miR-421,JPH1
hsa-miR-3687,EEF1D
hsa-miR-421,MTMR9
hsa-miR-573,PTOV1
hsa-miR-421,SGTA
hsa-miR-421,URI1
hsa-miR-421,FBL
hsa-miR-3687,HNRNPUL1
hsa-miR-421,HNRNPUL1
hsa-miR-421,DENND3
hsa-miR-1267,GRWD1
hsa-miR-1299,PDE4C
hsa-miR-421,ELL
hsa-miR-421,CRTC1
hsa-miR-421,COPE
hsa-miR-421,SIPA1L3
hsa-miR-421,CDK6
hsa-miR-4705,CDK6
hsa-miR-573,NAMPT
hsa-miR-3609,ITGB8
hsa-miR-573,ITGB8
hsa-miR-1267,DUS4L
hsa-miR-3609,LMBR1
hsa-miR-1255a,TAX1BP1
hsa-miR-621,CASP2
hsa-miR-1299,PTCD1
hsa-miR-3609,ZKSCAN1
hsa-miR-421,SERPINE1
hsa-miR-573,SERPINE1
hsa-miR-1299,MEST
hsa-miR-4705,TSPAN13
hsa-miR-573,AHR
hsa-miR-573,GLI3
hsa-miR-1299,URGCP
hsa-miR-1299,BCL7B
hsa-miR-421,YKT6
hsa-miR-3609,KDM4C
hsa-miR-1299,MPDZ
hsa-miR-421,NPDC1
hsa-miR-4705,SETX
hsa-miR-573,UBE2R2
hsa-miR-1299,DNMBP
hsa-miR-421,ERLIN1
hsa-miR-421,EIF3A
hsa-miR-4705,SEC23IP
hsa-miR-421,PLEKHA1
hsa-miR-1255a,UNC5B
hsa-miR-4705,GBF1
hsa-miR-1299,SH3PXD2A
hsa-miR-1299,PITRM1
hsa-miR-421,NUFIP2
hsa-miR-4705,NUFIP2
hsa-miR-4705,KPNB1
hsa-miR-573,KPNB1
hsa-miR-1267,UTP6
hsa-miR-573,VAT1
hsa-miR-573,SMURF2
hsa-miR-573,WSB1
hsa-miR-421,PMP22
hsa-miR-621,SUPT6H
hsa-miR-1299,PHF12
hsa-miR-421,TMEM33
hsa-miR-4705,DCUN1D4
hsa-miR-421,NDUFC1
hsa-miR-421,TBC1D9
hsa-miR-1267,WHSC1
hsa-miR-421,WHSC1
hsa-miR-1255a,KLF3
hsa-miR-4705,DDX25
hsa-miR-1267,HSPA8
hsa-miR-421,HSPA8
hsa-miR-4705,HSPA8
hsa-miR-573,DCPS
hsa-miR-1299,EIF4G2
hsa-miR-1267,DDX6
hsa-miR-1299,DDX6
hsa-miR-1267,HIPK3
hsa-miR-1299,GTF2H1
hsa-miR-421,PPFIBP1
hsa-miR-3609,CORO1C
hsa-miR-3687,CORO1C
hsa-miR-4705,SLC11A2
hsa-miR-421,PTGES3
hsa-miR-573,LIN7A
hsa-miR-421,DUSP16
hsa-miR-3609,CDKN1B
hsa-miR-421,CDKN1B
hsa-miR-573,CDKN1B
hsa-miR-1267,NAA25
hsa-miR-1299,OAS3
hsa-miR-4705,MGP
hsa-miR-4705,SLC38A1
hsa-miR-421,RFC5
hsa-miR-1255a,CAND1
hsa-miR-1267,CAND1
hsa-miR-1267,CHD4
hsa-miR-1299,LDHB
hsa-miR-421,C2CD5
hsa-miR-421,FRK
hsa-miR-421,NEDD9
hsa-miR-421,CEP85L
hsa-miR-573,ASF1A
hsa-miR-4705,NCOA7
hsa-miR-421,STK38
hsa-miR-3609,SOD2
hsa-miR-573,MCM3
hsa-miR-1267,ZNF451
hsa-miR-421,ZNF451
hsa-miR-4705,ZNF451
hsa-miR-421,BAG2
hsa-miR-421,CCNC
hsa-miR-421,E2F3
hsa-miR-421,BVES
hsa-miR-4705,RPS12
hsa-miR-3687,SOBP
hsa-miR-421,SOBP
hsa-miR-421,HECA
hsa-miR-1267,PHACTR2
hsa-miR-421,QKI
hsa-miR-421,CCND3
hsa-miR-4705,FAM120B
hsa-miR-421,TBP
hsa-miR-421,TMEM30A
hsa-miR-1299,FAM46A
hsa-miR-421,FAM46A
hsa-miR-421,TBX18
hsa-miR-1299,DAP
hsa-miR-1267,HSPA9
hsa-miR-421,HSPA9
hsa-miR-1267,FAF2
hsa-miR-421,POLR3G
hsa-miR-1299,PRLR
hsa-miR-421,GNPDA1
hsa-miR-1255a,NUP155
hsa-miR-1299,NUP155
hsa-miR-4705,PPWD1
hsa-miR-421,LIFR
hsa-miR-1255a,TRIM23
hsa-miR-573,SEC24A
hsa-miR-421,CPEB4
hsa-miR-4705,CPEB4
hsa-miR-3687,SMC4
hsa-miR-573,SMC4
hsa-miR-573,AMOTL2
hsa-miR-573,KPNA1
hsa-miR-421,SLC25A36
hsa-miR-573,WNT5A
hsa-miR-1299,FXR1
hsa-miR-1255a,CBLB
hsa-miR-3609,MRPL3
hsa-miR-421,MAPKAPK3
hsa-miR-421,ACVR2B
hsa-miR-4705,ABCC5
hsa-miR-421,FOXP1
hsa-miR-1299,EIF4G1
hsa-miR-4705,NCL
hsa-miR-421,SLC35F5
hsa-miR-3609,GPD2
hsa-miR-421,MPV17
hsa-miR-4705,SNX17
hsa-miR-421,GALNT3
hsa-miR-421,SF3B1
hsa-miR-421,ODC1
hsa-miR-421,BIRC6
hsa-miR-4705,PLEKHB2
hsa-miR-421,STRN
hsa-miR-1299,RAB3GAP1
hsa-miR-1267,DHCR24
hsa-miR-421,RPL22
hsa-miR-4705,PHF13
hsa-miR-421,CAPZA1
hsa-miR-421,ASH1L
hsa-miR-621,ASH1L
hsa-miR-1255a,ARHGEF2
hsa-miR-421,MEF2D
hsa-miR-1299,PRDM2
hsa-miR-421,TROVE2
hsa-miR-1299,RRAGC
hsa-miR-4705,LGALS8
hsa-miR-421,MTR
hsa-miR-3609,AKT3
hsa-miR-3687,HMGCL
hsa-miR-4705,CD46
hsa-miR-573,CD46
hsa-miR-573,APH1A
hsa-miR-421,PRDX1
hsa-miR-573,PRDX1
hsa-miR-1255a,ARID1A
hsa-miR-421,MESDC2
hsa-miR-573,KMT2A
hsa-miR-4705,KLF7
hsa-miR-1299,LRMP
hsa-miR-3609,TNFAIP3
hsa-miR-421,MED28
hsa-miR-4705,MED28
hsa-miR-1267,RPN2
hsa-miR-4705,RPN2
hsa-miR-1299,TGIF2
hsa-miR-421,ELL2
hsa-miR-421,KLF9
hsa-miR-4705,HEATR1
hsa-miR-1299,KDSR
hsa-miR-621,NEK9
hsa-miR-1267,IFT43
hsa-miR-1299,AREL1
hsa-miR-1299,SUPT7L
hsa-miR-421,ATAD2B
hsa-miR-573,AFTPH
hsa-miR-1299,EPCAM
hsa-miR-573,IFIT3
hsa-miR-4705,PYROXD2
hsa-miR-421,HELLS
hsa-miR-421,KANSL1
hsa-miR-3609,CD274
hsa-miR-1299,LRP11
hsa-miR-1299,CYSTM1
hsa-miR-1255a,TCP1
hsa-miR-1299,PDZD11
hsa-miR-421,ENY2
hsa-miR-4705,ELF1
hsa-miR-1299,HSPH1
hsa-miR-421,HSPH1
hsa-miR-573,EGR1
hsa-miR-421,TMPO
hsa-miR-421,ARL1
hsa-miR-421,NAA50
hsa-miR-573,NAA50
hsa-miR-1299,ZMYM2
hsa-miR-4705,ZMYM2
hsa-miR-421,FYTTD1
hsa-miR-1299,BBS9
hsa-miR-421,HNRNPA2B1
hsa-miR-1255a,ATP7B
hsa-miR-1299,ZC3H13
hsa-miR-421,OPTN
hsa-miR-3609,SPATS2
hsa-miR-4705,METTL21B
hsa-miR-573,ATPAF1
hsa-miR-4705,AMD1
hsa-miR-421,MORF4L2
hsa-miR-4705,FAM199X
hsa-miR-3609,SLC36A1
hsa-miR-4705,SLC36A1
hsa-miR-421,LPGAT1
hsa-miR-1299,PFKFB2
hsa-miR-1299,SRSF6
hsa-miR-421,STAU1
hsa-miR-421,PMEPA1
hsa-miR-421,MTRR
hsa-miR-4705,USP22
hsa-miR-1267,WRNIP1
hsa-miR-1255a,CDKN1A
hsa-miR-421,SOX4
hsa-miR-421,DEK
hsa-miR-1299,RUNX2
hsa-miR-3687,AHNAK
hsa-miR-3687,EFNB2
hsa-miR-421,POLR1B
hsa-miR-421,THOC2
hsa-miR-421,SNRPD2
hsa-miR-3609,NAPB
hsa-miR-1255a,TBC1D20
hsa-miR-1299,MAX
hsa-miR-3687,ERGIC3
hsa-miR-421,AGO3
hsa-miR-3687,PRR12
hsa-miR-421,SGPP1
hsa-miR-421,HNRNPH2
hsa-miR-421,CANX
hsa-miR-4705,CANX
hsa-miR-573,HELB
hsa-miR-573,MACF1
hsa-miR-421,ZNF780B
hsa-miR-1255a,ZFP36
hsa-miR-573,ZFP36
hsa-miR-421,YWHAH
hsa-miR-1299,FOXP2
hsa-miR-421,STRIP2
hsa-miR-421,MKLN1
hsa-miR-421,SMO
hsa-miR-4705,IRF5
hsa-miR-421,HAT1
hsa-miR-421,ARPP19
hsa-miR-573,COPB1
hsa-miR-1267,CCNT1
hsa-miR-421,CCNT1
hsa-miR-573,NGDN
hsa-miR-421,SNX6
hsa-miR-1299,MIS18BP1
hsa-miR-1267,PHF10
hsa-miR-4705,PHF10
hsa-miR-421,PVRL2
hsa-miR-573,XPO7
hsa-miR-4705,KIF1A
hsa-miR-573,BST2
hsa-miR-1299,MLLT4
hsa-miR-421,MLLT4
hsa-miR-1299,YIPF2
hsa-miR-573,DNMT1
hsa-miR-421,LRP3
hsa-miR-3687,UBA1
hsa-miR-4705,AAR2
hsa-miR-3687,ABCB7
hsa-miR-3687,TRAF3
hsa-miR-421,NDFIP1
hsa-miR-3609,PRKAB2
hsa-miR-421,VIMP
hsa-miR-573,LGALS3
hsa-miR-1299,DCAF15
hsa-miR-3609,TRIM22
hsa-miR-3687,SCLY
hsa-miR-421,PRKAA1
hsa-miR-4705,FIGNL1
hsa-miR-421,UTP3
