miRNA,lncRNA,mRNA
hsa-miR-421,LINC00657,PRELID1
hsa-miR-421,LINC00657,ATXN7L3B
hsa-miR-421,LINC00657,SLC4A7
hsa-miR-421,LINC00657,HNRNPF
hsa-miR-421,LINC00657,ZNF780B
hsa-miR-421,LINC00657,FAR1
hsa-miR-421,LINC00657,RBM15B
hsa-miR-421,LINC00657,GAN
hsa-miR-421,LINC00657,FCHSD2
hsa-miR-421,LINC00657,RGR
hsa-miR-421,LINC00657,MKLN1
hsa-miR-421,LINC00657,RIPK1
hsa-miR-421,LINC00657,FMO2
hsa-miR-421,LINC00657,USP1
hsa-miR-421,LINC00657,SIK2
hsa-miR-421,LINC00657,FRRS1L
hsa-miR-421,LINC00657,FUBP1
hsa-miR-421,LINC00657,ERLIN1
hsa-miR-421,LINC00657,EIF3A
hsa-miR-421,LINC00657,SCARB2
hsa-miR-421,LINC00657,PLEKHA1
hsa-miR-421,LINC00657,GEMIN6
hsa-miR-421,LINC00657,DDX52
hsa-miR-421,LINC00657,PXN
hsa-miR-421,LINC00657,ABCA9
hsa-miR-421,LINC00657,PYGO2
hsa-miR-421,LINC00657,AC019171.1
hsa-miR-421,LINC00657,ACSL3
hsa-miR-421,LINC00657,ADAM12
hsa-miR-421,LINC00657,LRRC8C
hsa-miR-421,LINC00657,LRRC58
hsa-miR-421,LINC00657,AK4
hsa-miR-421,LINC00657,AKAP1
hsa-miR-421,LINC00657,MAZ
hsa-miR-421,LINC00657,IGSF3
hsa-miR-421,LINC00657,IL6ST
hsa-miR-421,LINC00657,EIF5A2
hsa-miR-421,LINC00657,APBB2
hsa-miR-421,LINC00657,VIMP
hsa-miR-421,LINC00657,APPL1
hsa-miR-421,LINC00657,AQP6
hsa-miR-421,LINC00657,ARGLU1
hsa-miR-421,LINC00657,ARHGAP26
hsa-miR-421,LINC00657,SNIP1
hsa-miR-421,LINC00657,KDM2A
hsa-miR-421,LINC00657,UTP3
hsa-miR-421,LINC00657,SPTY2D1
hsa-miR-421,LINC00657,DNAJB14
hsa-miR-421,LINC00657,NASP
hsa-miR-421,LINC00657,RTCB
hsa-miR-421,LINC00657,ATXN1
hsa-miR-421,LINC00657,ATXN3
hsa-miR-421,LINC00657,AURKA
hsa-miR-421,LINC00657,BACH2
hsa-miR-421,LINC00657,LARP4B
hsa-miR-421,LINC00657,LDLRAD4
hsa-miR-421,LINC00657,BEND3
hsa-miR-421,LINC00657,IMPA1
hsa-miR-421,LINC00657,TBC1D30
hsa-miR-421,LINC00657,BMF
hsa-miR-421,LINC00657,C7orf60
hsa-miR-421,LINC00657,CDKN1B
hsa-miR-421,LINC00657,OXR1
hsa-miR-421,LINC00657,C17orf85
hsa-miR-421,LINC00657,C1orf52
hsa-miR-421,LINC00657,C3orf14
hsa-miR-421,LINC00657,C3orf38
hsa-miR-421,LINC00657,RFC5
hsa-miR-421,LINC00657,PIP5K1A
hsa-miR-421,LINC00657,REEP3
hsa-miR-421,LINC00657,MSL2
hsa-miR-421,LINC00657,CASD1
hsa-miR-421,LINC00657,MFSD6
hsa-miR-421,LINC00657,MITF
hsa-miR-421,LINC00657,CDC73
hsa-miR-421,LINC00657,CEP85L
hsa-miR-421,LINC00657,HOOK1
hsa-miR-421,LINC00657,ZCCHC11
hsa-miR-421,LINC00657,DSC2
hsa-miR-421,LINC00657,SGPL1
hsa-miR-421,LINC00657,CHST7
hsa-miR-421,LINC00657,NFAT5
hsa-miR-421,LINC00657,CLCN3
hsa-miR-421,LINC00657,RNF169
hsa-miR-421,LINC00657,HSDL1
hsa-miR-421,LINC00657,CMTM4
hsa-miR-421,LINC00657,E2F3
hsa-miR-421,LINC00657,CNOT4
hsa-miR-421,LINC00657,YWHAB
hsa-miR-421,LINC00657,COA4
hsa-miR-421,LINC00657,COQ7
hsa-miR-421,LINC00657,PLK2
hsa-miR-421,LINC00657,CCT7
hsa-miR-421,LINC00657,RASA1
hsa-miR-421,LINC00657,PAM
hsa-miR-421,LINC00657,RPL13
hsa-miR-421,LINC00657,CTH
hsa-miR-421,LINC00657,CSNK1A1
hsa-miR-421,LINC00657,CUL4B
hsa-miR-421,LINC00657,CXorf23
hsa-miR-421,LINC00657,SGTA
hsa-miR-421,LINC00657,C2CD3
hsa-miR-421,LINC00657,IREB2
hsa-miR-421,LINC00657,DDA1
hsa-miR-421,LINC00657,SRSF1
hsa-miR-421,LINC00657,DGCR14
hsa-miR-421,LINC00657,DDI2
hsa-miR-421,LINC00657,DHDDS
hsa-miR-421,LINC00657,TRA2B
hsa-miR-421,LINC00657,EDEM3
hsa-miR-421,LINC00657,ADAM9
hsa-miR-421,LINC00657,SIPA1L3
hsa-miR-421,LINC00657,CDK6
hsa-miR-421,LINC00657,TMEM185B
hsa-miR-421,LINC00657,ZSCAN9
hsa-miR-421,LINC00657,ELMOD1
hsa-miR-421,LINC00657,POLR3H
hsa-miR-421,LINC00657,ENPP6
hsa-miR-421,LINC00657,ACBD3
hsa-miR-421,LINC00657,EPB41L4B
hsa-miR-421,LINC00657,UBE2V2
hsa-miR-421,LINC00657,PRKAA2
hsa-miR-421,LINC00657,MMGT1
hsa-miR-421,LINC00657,TAS2R50
hsa-miR-421,LINC00657,PRKDC
hsa-miR-421,LINC00657,FAM49B
hsa-miR-421,LINC00657,RAB6B
hsa-miR-421,LINC00657,TOR1AIP2
hsa-miR-421,LINC00657,TM4SF1
hsa-miR-421,LINC00657,NDUFA6
hsa-miR-421,LINC00657,FGF13
hsa-miR-421,LINC00657,YKT6
hsa-miR-421,LINC00657,DNAJC13
hsa-miR-421,LINC00657,FGF14
hsa-miR-421,LINC00657,NPDC1
hsa-miR-421,LINC00657,ZFP36L1
hsa-miR-421,LINC00657,RP11-766F14.2
hsa-miR-421,LINC00657,ODC1
hsa-miR-421,LINC00657,POMK
hsa-miR-421,LINC00657,FLVCR1
hsa-miR-421,LINC00657,RASA3
hsa-miR-421,LINC00657,GAS7
hsa-miR-421,LINC00657,KIF5B
hsa-miR-421,LINC00657,PPP1CC
hsa-miR-421,LINC00657,SBNO1
hsa-miR-421,LINC00657,S1PR1
hsa-miR-421,LINC00657,PEX5
hsa-miR-421,LINC00657,GRM8
hsa-miR-421,LINC00657,WWC2
hsa-miR-421,LINC00657,PABPC3
hsa-miR-421,LINC00657,SH3BP4
hsa-miR-421,LINC00657,HMG20A
hsa-miR-421,LINC00657,SLC25A12
hsa-miR-421,LINC00657,ZNF217
hsa-miR-421,LINC00657,HSBP1
hsa-miR-421,LINC00657,SNAP25
hsa-miR-421,LINC00657,SNAP91
hsa-miR-421,LINC00657,IRS1
hsa-miR-421,LINC00657,SNRNP70
hsa-miR-421,LINC00657,ITGB5
hsa-miR-421,LINC00657,MESDC1
hsa-miR-421,LINC00657,KAT6A
hsa-miR-421,LINC00657,KAT7
hsa-miR-421,LINC00657,HNRNPU
hsa-miR-421,LINC00657,KCNJ10
hsa-miR-421,LINC00657,NACA
hsa-miR-421,LINC00657,KIAA0226L
hsa-miR-421,LINC00657,FAM208A
hsa-miR-421,LINC00657,KIAA0895L
hsa-miR-421,LINC00657,KIAA2026
hsa-miR-421,LINC00657,ARX
hsa-miR-421,LINC00657,KIF3C
hsa-miR-421,LINC00657,KNTC1
hsa-miR-421,LINC00657,TBL1XR1
hsa-miR-421,LINC00657,CBX4
hsa-miR-421,LINC00657,KRAS
hsa-miR-421,LINC00657,BCLAF1
hsa-miR-421,LINC00657,LEF1
hsa-miR-421,LINC00657,NABP1
hsa-miR-421,LINC00657,BEND4
hsa-miR-421,LINC00657,ZNF614
hsa-miR-421,LINC00657,IGF2R
hsa-miR-421,LINC00657,BTG1
hsa-miR-421,LINC00657,MAP3K2
hsa-miR-421,LINC00657,MAP7
hsa-miR-421,LINC00657,PDE4B
hsa-miR-421,LINC00657,PDK3
hsa-miR-421,LINC00657,MED4
hsa-miR-421,LINC00657,ZNF792
hsa-miR-421,LINC00657,MEF2C
hsa-miR-421,LINC00657,MEIS1
hsa-miR-421,LINC00657,TOPBP1
hsa-miR-421,LINC00657,KIAA1551
hsa-miR-421,LINC00657,TRAF6
hsa-miR-421,LINC00657,GALNT2
hsa-miR-421,LINC00657,MPRIP
hsa-miR-421,LINC00657,HSPH1
hsa-miR-421,LINC00657,MXI1
hsa-miR-421,LINC00657,MYO1F
hsa-miR-421,LINC00657,NAA60
hsa-miR-421,LINC00657,NCAM1
hsa-miR-421,LINC00657,LYSMD3
hsa-miR-421,LINC00657,NCBP2
hsa-miR-421,LINC00657,HSPD1
hsa-miR-421,LINC00657,PNMA1
hsa-miR-421,LINC00657,BAG2
hsa-miR-421,LINC00657,NMB
hsa-miR-421,LINC00657,CHML
hsa-miR-421,LINC00657,ANO6
hsa-miR-421,LINC00657,ULK1
hsa-miR-421,LINC00657,NR3C2
hsa-miR-421,LINC00657,SOBP
hsa-miR-421,LINC00657,CORO1C
hsa-miR-421,LINC00657,STRIP2
hsa-miR-421,LINC00657,ZC3H7A
hsa-miR-421,LINC00657,CPNE4
hsa-miR-421,LINC00657,OPA1
hsa-miR-421,LINC00657,PAIP2B
hsa-miR-421,LINC00657,PANK2
hsa-miR-421,LINC00657,CUL3
hsa-miR-421,LINC00657,PNRC1
hsa-miR-421,LINC00657,ZC3H18
hsa-miR-421,LINC00657,PCTP
hsa-miR-421,LINC00657,SERTAD2
hsa-miR-421,LINC00657,SEPHS2
hsa-miR-421,LINC00657,C16orf87
hsa-miR-421,LINC00657,ANKRD50
hsa-miR-421,LINC00657,ASH1L
hsa-miR-421,LINC00657,ABI2
hsa-miR-421,LINC00657,PGM3
hsa-miR-421,LINC00657,PDZD11
hsa-miR-421,LINC00657,SV2A
hsa-miR-421,LINC00657,RAP2B
hsa-miR-421,LINC00657,PLCL1
hsa-miR-421,LINC00657,FAM84B
hsa-miR-421,LINC00657,YIPF6
hsa-miR-421,LINC00657,PLXNC1
hsa-miR-421,LINC00657,ZBED5
hsa-miR-421,LINC00657,GDF7
hsa-miR-421,LINC00657,AURKAIP1
hsa-miR-421,LINC00657,PPP2R2C
hsa-miR-421,LINC00657,PRCP
hsa-miR-421,LINC00657,C15orf61
hsa-miR-421,LINC00657,FAM163B
hsa-miR-421,LINC00657,ESCO1
hsa-miR-421,LINC00657,GPS1
hsa-miR-421,LINC00657,SLC43A1
hsa-miR-421,LINC00657,FDXR
hsa-miR-421,LINC00657,KIAA1147
hsa-miR-421,LINC00657,UBE2G2
hsa-miR-421,LINC00657,FBXL4
hsa-miR-421,LINC00657,RERE
hsa-miR-421,LINC00657,SLC25A24
hsa-miR-421,LINC00657,NRG2
hsa-miR-421,LINC00657,CD164
hsa-miR-421,LINC00657,ARHGEF12
hsa-miR-421,LINC00657,DCP1A
hsa-miR-421,LINC00657,ONECUT2
hsa-miR-421,LINC00657,FRS3
hsa-miR-421,LINC00657,TAX1BP1
hsa-miR-421,LINC00657,TMED10
hsa-miR-421,LINC00657,G6PC3
hsa-miR-421,LINC00657,RRP15
hsa-miR-421,LINC00657,THAP2
hsa-miR-421,LINC00657,GCNT2
hsa-miR-421,LINC00657,CLEC11A
hsa-miR-421,LINC00657,DCUN1D1
hsa-miR-421,LINC00657,EDF1
hsa-miR-421,LINC00657,GPBP1
hsa-miR-421,LINC00657,SERTAD4
hsa-miR-421,LINC00657,PPARA
hsa-miR-421,LINC00657,SGIP1
hsa-miR-421,LINC00657,RSBN1L
hsa-miR-421,LINC00657,AGFG1
hsa-miR-421,LINC00657,SLC4A4
hsa-miR-421,LINC00657,HNRNPUL2
hsa-miR-421,LINC00657,ANKRD13C
hsa-miR-421,LINC00657,NARF
hsa-miR-421,LINC00657,CKAP5
hsa-miR-421,LINC00657,AP5M1
hsa-miR-421,LINC00657,LITAF
hsa-miR-421,LINC00657,PRDX1
hsa-miR-421,LINC00657,SPATA13
hsa-miR-421,LINC00657,SP3
hsa-miR-421,LINC00657,GOLM1
hsa-miR-421,LINC00657,SPCS2
hsa-miR-421,LINC00657,ARHGAP35
hsa-miR-421,LINC00657,SPR
hsa-miR-421,LINC00657,VEZF1
hsa-miR-421,LINC00657,ARHGEF9
hsa-miR-421,LINC00657,SRSF10
hsa-miR-421,LINC00657,CNOT6L
hsa-miR-421,LINC00657,ATP8A2
hsa-miR-421,LINC00657,WDR7
hsa-miR-421,LINC00657,YTHDF2
hsa-miR-421,LINC00657,CPLX1
hsa-miR-421,LINC00657,SUPT16H
hsa-miR-421,LINC00657,FNIP2
hsa-miR-421,LINC00657,ANXA4
hsa-miR-421,LINC00657,LPGAT1
hsa-miR-421,LINC00657,LONRF3
hsa-miR-421,LINC00657,ZNF654
hsa-miR-421,LINC00657,EIF1AX
hsa-miR-421,LINC00657,C11orf30
hsa-miR-421,LINC00657,DLC1
hsa-miR-421,LINC00657,MAP3K12
hsa-miR-421,LINC00657,C11orf87
hsa-miR-421,LINC00657,PVRL2
hsa-miR-421,LINC00657,MMADHC
hsa-miR-421,LINC00657,ZNF845
hsa-miR-421,LINC00657,GADD45A
hsa-miR-421,LINC00657,DTX1
hsa-miR-421,LINC00657,CAMK2D
hsa-miR-421,LINC00657,ASPH
hsa-miR-421,LINC00657,PCNA
hsa-miR-421,LINC00657,EIF2S2
hsa-miR-421,LINC00657,MGAT5
hsa-miR-421,LINC00657,EIF3M
hsa-miR-421,LINC00657,ELK3
hsa-miR-421,LINC00657,SLC16A1
hsa-miR-421,LINC00657,FOXJ3
hsa-miR-421,LINC00657,CHD2
hsa-miR-421,LINC00657,CHD7
hsa-miR-421,LINC00657,EPSTI1
hsa-miR-421,LINC00657,ERCC6L2
hsa-miR-421,LINC00657,VAMP7
hsa-miR-421,LINC00657,VAT1L
hsa-miR-421,LINC00657,HK1
hsa-miR-421,LINC00657,PTPRB
hsa-miR-421,LINC00657,PHLDB2
hsa-miR-421,LINC00657,MAFB
hsa-miR-421,LINC00657,RASAL2
hsa-miR-421,LINC00657,BRD2
hsa-miR-421,LINC00657,SF1
hsa-miR-421,LINC00657,PDCD4
hsa-miR-421,LINC00657,NSUN4
hsa-miR-421,LINC00657,HNRNPA0
hsa-miR-421,LINC00657,CORO2A
hsa-miR-421,LINC00657,CS
hsa-miR-421,LINC00657,MRPL51
hsa-miR-421,LINC00657,ZNF404
hsa-miR-421,LINC00657,RPRD1B
hsa-miR-421,LINC00657,PAPOLG
hsa-miR-421,LINC00657,FZD8
hsa-miR-421,LINC00657,ELK4
hsa-miR-421,LINC00657,DCPS
hsa-miR-421,LINC00657,PAPSS2
hsa-miR-421,LINC00657,ARL5B
hsa-miR-421,LINC00657,SMS
hsa-miR-421,LINC00657,GPRIN3
hsa-miR-421,LINC00657,EPS8
hsa-miR-421,LINC00657,PGBD1
hsa-miR-421,LINC00657,ABAT
hsa-miR-421,LINC00657,RCAN1
hsa-miR-421,LINC00657,SKIDA1
hsa-miR-421,LINC00657,PRDX4
hsa-miR-421,LINC00657,TACO1
hsa-miR-421,LINC00657,ECHS1
hsa-miR-421,LINC00657,ARMC8
hsa-miR-421,LINC00657,RASSF4
hsa-miR-421,LINC00657,CCDC28A
hsa-miR-421,LINC00657,CFL2
hsa-miR-421,LINC00657,CTXN1
hsa-miR-421,LINC00657,JAKMIP2
hsa-miR-421,LINC00657,KAZN
hsa-miR-421,LINC00657,TTC9
hsa-miR-421,LINC00657,TNKS1BP1
hsa-miR-421,LINC00657,FAM206A
hsa-miR-421,LINC00657,NT5E
hsa-miR-421,LINC00657,CLIP2
hsa-miR-421,LINC00657,FBXL17
hsa-miR-421,LINC00657,LZIC
hsa-miR-421,LINC00657,SACM1L
hsa-miR-421,LINC00657,PLXNA1
hsa-miR-421,LINC00657,SLC3A2
hsa-miR-421,LINC00657,ZNF706
hsa-miR-421,LINC00657,OCIAD1
hsa-miR-421,LINC00657,RNF149
hsa-miR-421,LINC00657,MTOR
hsa-miR-421,LINC00657,CDK20
hsa-miR-421,LINC00657,H1F0
hsa-miR-421,LINC00657,METTL8
hsa-miR-421,LINC00657,SOCS7
hsa-miR-421,LINC00657,PIPOX
hsa-miR-421,LINC00657,WAC
hsa-miR-421,LINC00657,NPHP3
hsa-miR-421,LINC00657,NR2C2
hsa-miR-421,LINC00657,NPFFR1
hsa-miR-421,LINC00657,MTA1
hsa-miR-421,LINC00657,SEPHS1
hsa-miR-421,LINC00657,SOX6
hsa-miR-421,LINC00657,FAM126B
hsa-miR-421,LINC00657,TSN
hsa-miR-421,LINC00657,NFIB
hsa-miR-421,LINC00657,CLDN11
hsa-miR-421,LINC00657,CYP7B1
hsa-miR-421,LINC00657,NFATC2IP
hsa-miR-421,LINC00657,PRUNE2
hsa-miR-421,LINC00657,KDELR2
hsa-miR-421,LINC00657,NLE1
hsa-miR-421,LINC00657,EGFR
hsa-miR-421,LINC00657,NHLRC2
hsa-miR-421,LINC00657,APPBP2
hsa-miR-421,LINC00657,TUBB
hsa-miR-421,LINC00657,CISD1
hsa-miR-421,LINC00086,RBMXL1
hsa-miR-421,LINC00086,CBX7
hsa-miR-421,LINC00086,ATM
hsa-miR-421,LINC00086,SMAD4
hsa-miR-421,LINC00086,NSL1
hsa-miR-421,LINC00086,SRSF7
hsa-miR-421,LINC00086,GID8
hsa-miR-421,LINC00086,EIF3K
hsa-miR-421,LINC00086,MAPK8
hsa-miR-421,LINC00086,LIMS1
hsa-miR-421,LINC00086,ZNF30
hsa-miR-421,LINC00086,GID4
hsa-miR-421,LINC00086,DDX39A
hsa-miR-421,LINC00086,ZNF678
hsa-miR-421,LINC00086,MIS18BP1
hsa-miR-421,LINC00086,NXPE3
hsa-miR-421,LINC00086,RNF138
hsa-miR-421,LINC00086,LIN7C
hsa-miR-421,LINC00086,RGMB
hsa-miR-421,LINC00086,SREK1IP1
hsa-miR-421,LINC00086,TAF9
hsa-miR-421,LINC00086,NR6A1
hsa-miR-421,LINC00086,CD46
hsa-miR-421,LINC00086,NDC1
hsa-miR-421,LINC00086,CREBZF
hsa-miR-421,LINC00086,POLR2D
hsa-miR-421,LINC00086,CEBPB
hsa-miR-421,LINC00086,FAM160B1
hsa-miR-421,LINC00086,VAPA
hsa-miR-421,LINC00086,DDX3X
hsa-miR-421,LINC00086,CREBRF
hsa-miR-421,LINC00086,FAM122A
hsa-miR-421,LINC00086,DNAJC27
hsa-miR-421,LINC00086,ZFP36L2
hsa-miR-421,LINC00086,RND3
hsa-miR-421,LINC00086,ATG2B
hsa-miR-421,LINC00086,TTC37
hsa-miR-421,LINC00086,RBBP7
hsa-miR-421,LINC00086,AFF4
hsa-miR-421,LINC00086,NIPBL
hsa-miR-421,LINC00086,LMCD1
hsa-miR-421,LINC00086,RANBP2
hsa-miR-421,LINC00086,USO1
hsa-miR-421,LINC00086,AP3B1
hsa-miR-421,LINC00086,PAXBP1
hsa-miR-421,LINC00086,PPARGC1A
hsa-miR-421,LINC00086,MTHFD2
hsa-miR-421,LINC00086,GCSH
hsa-miR-421,LINC00086,LARS2
hsa-miR-421,LINC00086,RPL18A
hsa-miR-421,LINC00086,EIF4A1
hsa-miR-421,LINC00086,DUSP3
hsa-miR-421,LINC00086,PHKA1
hsa-miR-421,LINC00086,DDX20
hsa-miR-421,LINC00086,CAP1
hsa-miR-421,LINC00086,ACOT9
hsa-miR-421,LINC00086,EIF4G2
hsa-miR-421,LINC00086,MSL3
hsa-miR-421,LINC00086,CEP57
hsa-miR-421,LINC00086,RPL26L1
hsa-miR-421,LINC00086,SENP7
hsa-miR-421,LINC00086,DOK4
hsa-miR-421,LINC00086,OTUD1
hsa-miR-421,LINC00086,CDC42SE2
hsa-miR-421,LINC00086,MRPL38
hsa-miR-421,LINC00086,ATXN2L
hsa-miR-421,LINC00086,TSR1
hsa-miR-421,LINC00086,GFOD2
hsa-miR-421,LINC00086,RAB2B
hsa-miR-421,LINC00086,PPP1R13B
hsa-miR-421,LINC00086,NPM1
hsa-miR-421,LINC00086,PARP10
hsa-miR-421,LINC00086,PQLC2
hsa-miR-421,LINC00086,SLC25A6
hsa-miR-421,LINC00086,PRR7
hsa-miR-421,LINC00086,AGO1
hsa-miR-421,LINC00086,FBXO11
hsa-miR-421,LINC00086,AHNAK
hsa-miR-421,LINC00086,GRK6
hsa-miR-421,LINC00086,SLIT1
hsa-miR-421,LINC00086,SLC9A6
hsa-miR-421,LINC00086,FAM172A
hsa-miR-421,LINC00086,SPECC1L
hsa-miR-421,LINC00086,SEPT2
hsa-miR-421,LINC00086,CTC1
hsa-miR-421,LINC00086,CDC37
hsa-miR-421,LINC00086,ZNF280C
hsa-miR-421,LINC00086,ISY1
hsa-miR-421,LINC00086,ZMYND8
hsa-miR-421,LINC00086,SRP9
hsa-miR-421,LINC00086,INPP4A
hsa-miR-421,LINC00086,MLXIP
hsa-miR-421,LINC00086,DUS3L
hsa-miR-421,LINC00086,FKBP8
hsa-miR-421,LINC00086,DNAJC16
hsa-miR-421,LINC00086,COPRS
hsa-miR-421,LINC00086,TUBA1B
hsa-miR-421,LINC00086,CASP2
hsa-miR-421,LINC00086,RPS18
hsa-miR-421,LINC00086,HSP90AA1
hsa-miR-421,LINC00086,COPA
hsa-miR-421,LINC00086,RAB11FIP1
hsa-miR-421,LINC00086,RHOB
hsa-miR-421,LINC00086,PSME1
hsa-miR-421,LINC00086,MCFD2
hsa-miR-421,LINC00086,CNOT1
hsa-miR-421,LINC00086,ZC3H7B
hsa-miR-421,LINC00086,AMZ2
hsa-miR-421,LINC00086,HTT
hsa-miR-421,LINC00086,LBR
hsa-miR-421,LINC00086,NCDN
hsa-miR-421,LINC00086,RASL10B
hsa-miR-421,LINC00086,RIF1
hsa-miR-421,LINC00086,EEF1A1
hsa-miR-421,LINC00086,ITPK1
hsa-miR-421,LINC00086,RPS10
hsa-miR-421,LINC00086,FAM168B
hsa-miR-421,LINC00086,CMAS
hsa-miR-421,LINC00086,TRIM27
hsa-miR-421,LINC00086,NR3C1
hsa-miR-421,LINC00086,ZXDA
hsa-miR-421,LINC00086,SFXN1
hsa-miR-421,LINC00086,DFFB
hsa-miR-421,LINC00086,RASAL1
hsa-miR-421,LINC00086,KIAA0100
hsa-miR-421,LINC00086,CD276
hsa-miR-421,LINC00086,RHOBTB2
hsa-miR-421,LINC00086,SMCHD1
hsa-miR-421,LINC00086,FAM32A
hsa-miR-421,LINC00086,RAB26
hsa-miR-421,LINC00086,TMEM109
hsa-miR-421,LINC00086,PRCC
hsa-miR-421,LINC00086,PPP2CB
hsa-miR-421,LINC00086,PHLPP2
hsa-miR-421,LINC00086,RALGAPB
hsa-miR-421,LINC00086,HADHA
hsa-miR-421,LINC00086,FAM155B
hsa-miR-421,LINC00086,FBXL16
hsa-miR-421,LINC00086,PHTF2
hsa-miR-421,LINC00086,CASP3
hsa-miR-421,LINC00086,TBP
hsa-miR-421,LINC00086,TMEM30A
hsa-miR-421,LINC00086,CYTH3
hsa-miR-421,LINC00086,NFIX
hsa-miR-421,LINC00086,TBX18
hsa-miR-421,LINC00086,CBWD1
hsa-miR-421,LINC00086,CBWD5
hsa-miR-421,LINC00086,HSPA9
hsa-miR-421,LINC00086,MEPCE
hsa-miR-421,LINC00086,POLR3G
hsa-miR-421,LINC00086,SLC36A4
hsa-miR-421,LINC00086,ZNF207
hsa-miR-421,LINC00086,PPTC7
hsa-miR-421,LINC00086,ZNF200
hsa-miR-421,LINC00086,WHSC1L1
hsa-miR-421,LINC00086,BTBD7
hsa-miR-421,LINC00086,LRP12
hsa-miR-421,LINC00086,CEP78
hsa-miR-421,LINC00086,CPEB4
hsa-miR-421,LINC00086,MATR3
hsa-miR-421,LINC00086,SNX30
hsa-miR-421,LINC00086,NDUFS1
hsa-miR-421,LINC00086,AKAP11
hsa-miR-421,LINC00086,RSU1
hsa-miR-421,LINC00086,SLC25A36
hsa-miR-421,LINC00086,ADD3
hsa-miR-421,LINC00086,PRKD1
hsa-miR-421,LINC00086,PNPO
hsa-miR-421,LINC00086,PSMA5
hsa-miR-421,LINC00086,TIMP2
hsa-miR-421,LINC00086,TBC1D23
hsa-miR-421,LINC00086,PDPK1
hsa-miR-421,LINC00086,FOXP1
hsa-miR-421,LINC00086,TET1
hsa-miR-421,LINC00086,ZC3H12C
hsa-miR-421,LINC00086,SLC35F5
hsa-miR-421,LINC00086,NPAT
hsa-miR-421,LINC00086,MPV17
hsa-miR-421,LINC00086,HYOU1
hsa-miR-421,LINC00086,GALNT3
hsa-miR-421,LINC00086,SF3B1
hsa-miR-421,LINC00086,ZNF208
hsa-miR-421,LINC00086,BIRC6
hsa-miR-421,LINC00086,RPS6KA3
hsa-miR-421,LINC00086,FAM214A
hsa-miR-421,LINC00086,ZNF284
hsa-miR-421,LINC00086,CRIM1
hsa-miR-421,LINC00086,LTBP1
hsa-miR-421,LINC00086,RPS23
hsa-miR-421,LINC00086,AKR7A2
hsa-miR-421,LINC00086,TSC22D3
hsa-miR-421,LINC00086,FOXC1
hsa-miR-421,LINC00086,GALK2
hsa-miR-421,LINC00086,RELT
hsa-miR-421,LINC00086,FAM114A2
hsa-miR-421,LINC00086,CYFIP2
hsa-miR-421,LINC00086,KMT2C
hsa-miR-421,LINC00086,UHMK1
hsa-miR-421,LINC00086,MTR
hsa-miR-421,LINC00086,MBNL1
hsa-miR-421,LINC00086,NADK2
hsa-miR-421,LINC00086,HNRNPDL
hsa-miR-421,LINC00086,ZC3H11A
hsa-miR-421,LINC00086,NPTX1
hsa-miR-421,LINC00086,NFE2L1
hsa-miR-421,LINC00086,CAST
hsa-miR-421,LINC00086,NCKAP1
hsa-miR-421,LINC00086,XIAP
hsa-miR-421,LINC00086,NR4A2
hsa-miR-421,LINC00086,KCNN3
hsa-miR-421,LINC00086,KCNMB4
hsa-miR-421,LINC00086,HIPK2
hsa-miR-421,LINC00086,MED28
hsa-miR-421,LINC00086,GNAI3
hsa-miR-421,LINC00086,IPO5
hsa-miR-421,LINC00086,HIST1H2AG
hsa-miR-421,LINC00086,SPEN
hsa-miR-421,LINC00086,ELL2
hsa-miR-421,LINC00086,KLF9
hsa-miR-421,LINC00086,SMARCD1
hsa-miR-421,LINC00086,SYT14
hsa-miR-421,LINC00086,ZNF652
hsa-miR-421,LINC00086,ACSL4
hsa-miR-421,LINC00086,UBE2D3
hsa-miR-421,LINC00086,GMFB
hsa-miR-421,LINC00086,ATAD2B
hsa-miR-421,LINC00086,NUCKS1
hsa-miR-421,LINC00086,TIMM8A
hsa-miR-421,LINC00086,HNRNPAB
hsa-miR-421,LINC00086,RORA
hsa-miR-421,LINC00086,HELLS
hsa-miR-421,LINC00086,KANSL1
hsa-miR-421,LINC00086,EXOC5
hsa-miR-421,LINC00086,TOMM34
hsa-miR-421,LINC00086,TOMM70A
hsa-miR-421,LINC00086,SLC6A13
hsa-miR-421,LINC00086,PARP11
hsa-miR-421,LINC00086,ENY2
hsa-miR-421,LINC00086,TRPM7
hsa-miR-421,LINC00086,SEL1L
hsa-miR-421,LINC00086,BTRC
hsa-miR-421,LINC00086,PPP1R14C
hsa-miR-421,LINC00086,TRIM4
hsa-miR-421,LINC00086,ARL1
hsa-miR-421,LINC00086,NAA50
hsa-miR-421,LINC00086,FBXW11
hsa-miR-421,LINC00086,GNAQ
hsa-miR-421,LINC00086,KDM5A
hsa-miR-421,LINC00086,FYTTD1
hsa-miR-421,LINC00086,MAP3K13
hsa-miR-421,LINC00086,IPCEF1
hsa-miR-421,LINC00086,NUP37
hsa-miR-421,LINC00086,WASF2
hsa-miR-421,LINC00086,OPTN
hsa-miR-421,LINC00086,ZNF638
hsa-miR-421,LINC00086,SYT4
hsa-miR-421,LINC00086,ZFYVE9
hsa-miR-421,LINC00086,ZBTB11
hsa-miR-421,LINC00086,MORF4L2
hsa-miR-421,LINC00086,ZCCHC14
hsa-miR-421,LINC00086,IPO7
hsa-miR-421,LINC00086,SLC37A3
