miRNA,lncRNA,mRNA
hsa-miR-1255a,BCYRN1,STK10
hsa-miR-1255a,BCYRN1,CAMK4
hsa-miR-1255a,BCYRN1,NUP155
hsa-miR-1255a,BCYRN1,TCP1
hsa-miR-1255a,BCYRN1,DRAM1
hsa-miR-1255a,BCYRN1,TET3
hsa-miR-1255a,BCYRN1,TLN1
hsa-miR-1255a,BCYRN1,TROVE2
hsa-miR-1255a,BCYRN1,EPHA2
hsa-miR-1255a,BCYRN1,MVP
hsa-miR-1255a,BCYRN1,PCBP2
hsa-miR-1255a,BCYRN1,NRM
hsa-miR-1255a,BCYRN1,CCND2
hsa-miR-1255a,BCYRN1,TAX1BP1
hsa-miR-1255a,BCYRN1,KCTD5
hsa-miR-1255a,BCYRN1,CDKN1A
hsa-miR-1255a,BCYRN1,SOGA1
hsa-miR-1255a,BCYRN1,SAMD9
hsa-miR-1255a,BCYRN1,VPS28
hsa-miR-1255a,BCYRN1,MEF2D
hsa-miR-1255a,BCYRN1,UBP1
hsa-miR-1255a,BCYRN1,RHOG
hsa-miR-1255a,BCYRN1,ZBTB37
hsa-miR-1255a,BCYRN1,PTK7
hsa-miR-1255a,BCYRN1,PLXND1
hsa-miR-1255a,BCYRN1,MNT
hsa-miR-1255a,BCYRN1,FUS
hsa-miR-1255a,BCYRN1,ITGA3
hsa-miR-1255a,BCYRN1,EIF5AL1
hsa-miR-1255a,BCYRN1,HIC2
hsa-miR-1255a,BCYRN1,C8orf37
hsa-miR-1255a,BCYRN1,YWHAZ
hsa-miR-1255a,BCYRN1,AZIN1
hsa-miR-1255a,BCYRN1,C6orf106
hsa-miR-1255a,BCYRN1,PISD
hsa-miR-1255a,BCYRN1,MAPK1
hsa-miR-1255a,BCYRN1,NAA20
hsa-miR-1255a,BCYRN1,NUP62
hsa-miR-1255a,BCYRN1,MRPL9
hsa-miR-1255a,BCYRN1,CHD9
hsa-miR-1255a,BCYRN1,ZNF333
hsa-miR-1255a,BCYRN1,CDC73
hsa-miR-1255a,BCYRN1,ATP7B
hsa-miR-1255a,BCYRN1,FEM1B
hsa-miR-1255a,BCYRN1,TRIM23
hsa-miR-1255a,BCYRN1,ENDOD1
hsa-miR-1255a,RP11-553L6.5,CHTF8
hsa-miR-1255a,RP11-553L6.5,FAM102A
hsa-miR-1255a,RP11-553L6.5,GATAD2B
hsa-miR-1255a,RP11-553L6.5,KAT7
hsa-miR-1255a,RP11-553L6.5,PIAS1
hsa-miR-1255a,RP11-553L6.5,SRRT
hsa-miR-1255a,RP11-553L6.5,XRCC1
hsa-miR-1255a,RP11-553L6.5,TAOK1
hsa-miR-1255a,RP11-553L6.5,C21orf91
hsa-miR-1255a,RP11-553L6.5,CRKL
hsa-miR-1255a,RP11-553L6.5,ARID1A
hsa-miR-1255a,RP11-553L6.5,DCXR
hsa-miR-1255a,RP11-553L6.5,CKS2
hsa-miR-1255a,RP11-553L6.5,EIF5A
hsa-miR-1255a,RP11-553L6.5,NMNAT2
hsa-miR-1255a,RP11-553L6.5,PARP9
hsa-miR-1255a,RP11-553L6.5,TADA2B
hsa-miR-1255a,RP11-553L6.5,ST18
hsa-miR-1255a,RP11-553L6.5,TMEM106B
hsa-miR-1255a,RP11-553L6.5,IFNLR1
hsa-miR-1255a,RP11-553L6.5,ZKSCAN8
hsa-miR-1255a,RP11-553L6.5,C1orf109
hsa-miR-1255a,RP11-553L6.5,ARHGEF2
hsa-miR-1255a,RP11-553L6.5,RNF185
hsa-miR-1255a,RP11-553L6.5,GAS7
hsa-miR-1255a,RP11-553L6.5,RAPGEF1
hsa-miR-1255a,RP11-553L6.5,BASP1
hsa-miR-1255a,RP11-553L6.5,KIAA1191
hsa-miR-1255a,RP11-553L6.5,DCP2
hsa-miR-1255a,RP11-553L6.5,SRD5A3
hsa-miR-1255a,RP11-553L6.5,HIPK1
hsa-miR-1255a,RP11-553L6.5,SPATA2
hsa-miR-1255a,RP11-553L6.5,PXN
hsa-miR-1255a,RP11-553L6.5,GRB2
hsa-miR-1255a,RP11-553L6.5,VEZF1
hsa-miR-1255a,RP11-553L6.5,MAD2L1
hsa-miR-1255a,RP11-553L6.5,CAND1
hsa-miR-1255a,RP11-553L6.5,DNAJB4
hsa-miR-1255a,RP11-553L6.5,ZNF550
hsa-miR-1255a,RP11-553L6.5,DNAJC24
hsa-miR-1255a,RP11-553L6.5,KLF3
hsa-miR-1255a,RP11-553L6.5,CYGB
hsa-miR-1255a,RP11-553L6.5,NUCKS1
hsa-miR-1255a,RP11-553L6.5,S1PR1
hsa-miR-1255a,RP11-553L6.5,MED19
hsa-miR-1255a,RP11-553L6.5,TBC1D20
hsa-miR-1255a,RP11-553L6.5,PDPR
hsa-miR-1255a,RP11-553L6.5,RBM8A
hsa-miR-1255a,RP11-553L6.5,ITGA2
hsa-miR-1255a,RP11-553L6.5,RNF168
hsa-miR-1255a,RP11-553L6.5,MRPL12
hsa-miR-1255a,RP11-553L6.5,STARD4
hsa-miR-1255a,RP11-553L6.5,FUT11
hsa-miR-1255a,RP11-553L6.5,LIN52
hsa-miR-1255a,RP11-553L6.5,FOXP4
hsa-miR-1255a,RP11-553L6.5,NKAIN1
hsa-miR-1255a,RP11-553L6.5,POFUT1
hsa-miR-1255a,RP11-553L6.5,ZNF160
hsa-miR-1255a,RP11-553L6.5,UNC5B
hsa-miR-1255a,RP11-553L6.5,GPX7
hsa-miR-1255a,RP11-553L6.5,ZHX1
hsa-miR-1255a,RP11-553L6.5,PLAGL2
hsa-miR-1255a,RP11-553L6.5,MAP3K2
hsa-miR-1255a,RP11-553L6.5,MFSD2A
hsa-miR-1255a,RP11-553L6.5,UBL5
hsa-miR-1255a,RP11-553L6.5,TPI1
hsa-miR-1255a,RP11-553L6.5,ZFP91
hsa-miR-1255a,RP11-553L6.5,SLC2A3
hsa-miR-1255a,RP11-553L6.5,MDM2
hsa-miR-1255a,RP11-553L6.5,HDGF
hsa-miR-1255a,RP11-553L6.5,PUM2
hsa-miR-1255a,RP11-553L6.5,JMJD1C
hsa-miR-1255a,RP11-553L6.5,PIN1
hsa-miR-1255a,RP11-553L6.5,ALDH3B1
hsa-miR-1255a,RP11-553L6.5,YWHAB
hsa-miR-1255a,RP11-553L6.5,HTR5A-AS1
hsa-miR-1255a,RP11-553L6.5,NLRX1
hsa-miR-1255a,RP11-553L6.5,OPA1
hsa-miR-1255a,RP11-553L6.5,LCOR
hsa-miR-1255a,RP11-553L6.5,ALG10B
hsa-miR-1255a,RP11-553L6.5,MTA1
hsa-miR-1255a,RP11-553L6.5,SLC1A1
hsa-miR-1255a,RP11-553L6.5,GPR137C
hsa-miR-1255a,RP11-553L6.5,EPHA4
hsa-miR-1255a,RP11-553L6.5,ZFP36
hsa-miR-1255a,RP11-553L6.5,ZBTB40
hsa-miR-1255a,RP11-553L6.5,NCR3LG1
hsa-miR-1255a,RP11-553L6.5,UTP6
hsa-miR-1255a,RP11-553L6.5,SLC7A5
hsa-miR-1255a,RP11-553L6.5,ATP6V0A2
hsa-miR-1255a,RP11-553L6.5,AGO2
hsa-miR-1255a,RP11-553L6.5,EIF2AK1
hsa-miR-1255a,RP11-553L6.5,ICAM1
hsa-miR-1255a,RP11-553L6.5,HIST1H2BG
hsa-miR-1255a,RP11-553L6.5,SAMD4B
hsa-miR-1255a,RP11-553L6.5,CBLB
hsa-miR-1255a,RP11-553L6.5,JARID2
hsa-miR-1255a,RP11-553L6.5,ZNF766
hsa-miR-1255a,RP11-553L6.5,POLR3C
hsa-miR-1255a,RP11-553L6.5,LITAF
hsa-miR-1255a,RP11-553L6.5,POU2F1
hsa-miR-1255a,RP11-553L6.5,ATP11B
hsa-miR-1255a,RP11-553L6.5,MPDU1
hsa-miR-1255a,RP11-553L6.5,CPS1
hsa-miR-1255a,RP11-553L6.5,STK10
hsa-miR-1255a,RP11-553L6.5,CAMK4
hsa-miR-1255a,RP11-553L6.5,NUP155
hsa-miR-1255a,RP11-553L6.5,TCP1
hsa-miR-1255a,RP11-553L6.5,DRAM1
hsa-miR-1255a,RP11-553L6.5,TET3
hsa-miR-1255a,RP11-553L6.5,TLN1
hsa-miR-1255a,RP11-553L6.5,TROVE2
hsa-miR-1255a,RP11-553L6.5,EPHA2
hsa-miR-1255a,RP11-553L6.5,MVP
hsa-miR-1255a,RP11-553L6.5,PCBP2
hsa-miR-1255a,RP11-553L6.5,NRM
hsa-miR-1255a,RP11-553L6.5,CCND2
hsa-miR-1255a,RP11-553L6.5,TAX1BP1
hsa-miR-1255a,RP11-553L6.5,KCTD5
hsa-miR-1255a,RP11-553L6.5,CDKN1A
hsa-miR-1255a,RP11-553L6.5,SOGA1
hsa-miR-1255a,RP11-553L6.5,SAMD9
hsa-miR-1255a,RP11-553L6.5,VPS28
hsa-miR-1255a,RP11-553L6.5,MEF2D
hsa-miR-1255a,RP11-553L6.5,UBP1
hsa-miR-1255a,RP11-553L6.5,RHOG
hsa-miR-1255a,RP11-553L6.5,ZBTB37
hsa-miR-1255a,RP11-553L6.5,PTK7
hsa-miR-1255a,RP11-553L6.5,PLXND1
hsa-miR-1255a,RP11-553L6.5,MNT
hsa-miR-1255a,RP11-553L6.5,FUS
hsa-miR-1255a,RP11-553L6.5,ITGA3
hsa-miR-1255a,RP11-553L6.5,EIF5AL1
hsa-miR-1255a,RP11-553L6.5,HIC2
hsa-miR-1255a,RP11-553L6.5,C8orf37
hsa-miR-1255a,RP11-553L6.5,YWHAZ
hsa-miR-1255a,RP11-553L6.5,AZIN1
hsa-miR-1255a,RP11-553L6.5,C6orf106
hsa-miR-1255a,RP11-553L6.5,PISD
hsa-miR-1255a,RP11-553L6.5,MAPK1
hsa-miR-1255a,RP11-553L6.5,NAA20
hsa-miR-1255a,RP11-553L6.5,NUP62
hsa-miR-1255a,RP11-553L6.5,MRPL9
hsa-miR-1255a,RP11-553L6.5,CHD9
hsa-miR-1255a,RP11-553L6.5,ZNF333
hsa-miR-1255a,RP11-553L6.5,CDC73
hsa-miR-1255a,RP11-553L6.5,ATP7B
hsa-miR-1255a,RP11-553L6.5,FEM1B
hsa-miR-1255a,RP11-553L6.5,TRIM23
hsa-miR-1255a,RP11-553L6.5,ENDOD1
hsa-miR-1267,NEAT1,PAWR
hsa-miR-1267,NEAT1,SECISBP2L
hsa-miR-1267,NEAT1,USP1
hsa-miR-1267,NEAT1,LSM10
hsa-miR-1267,NEAT1,ZNF829
hsa-miR-1267,NEAT1,PEX26
hsa-miR-1267,NEAT1,HSD17B12
hsa-miR-1267,NEAT1,C5orf15
hsa-miR-1267,NEAT1,HIST1H2BG
hsa-miR-1267,NEAT1,MED29
hsa-miR-1267,NEAT1,C18orf21
hsa-miR-1267,NEAT1,ISPD
hsa-miR-1267,NEAT1,HNRNPH1
hsa-miR-1267,NEAT1,DUSP18
hsa-miR-1267,NEAT1,PDE3A
hsa-miR-1267,NEAT1,MCM8
hsa-miR-1267,NEAT1,SLC25A12
hsa-miR-1267,NEAT1,PHF10
hsa-miR-1267,NEAT1,HOOK1
hsa-miR-1267,NEAT1,MAGT1
hsa-miR-1267,NEAT1,ZNF446
hsa-miR-1267,NEAT1,KIF11
hsa-miR-1267,NEAT1,GRWD1
hsa-miR-1267,NEAT1,RNF170
hsa-miR-1267,NEAT1,CCNT1
hsa-miR-1267,NEAT1,HCFC1
hsa-miR-1267,NEAT1,FYCO1
hsa-miR-1267,NEAT1,BACE1
hsa-miR-1267,NEAT1,ATP6V0E1
hsa-miR-1267,NEAT1,RAD18
hsa-miR-1267,NEAT1,MRI1
hsa-miR-1267,NEAT1,CYYR1
hsa-miR-1267,NEAT1,ZNF713
hsa-miR-1267,NEAT1,ANKRD12
hsa-miR-1267,NEAT1,ABL2
hsa-miR-1267,NEAT1,PIM1
hsa-miR-1267,NEAT1,RGS9BP
hsa-miR-1267,NEAT1,NFIA
hsa-miR-1267,NEAT1,NUP62
hsa-miR-1267,NEAT1,NFKBIB
hsa-miR-1267,NEAT1,C1orf50
hsa-miR-1267,NEAT1,CRK
hsa-miR-1267,NEAT1,PTPN14
hsa-miR-1267,NEAT1,SOX4
hsa-miR-1267,NEAT1,RPS6KA5
hsa-miR-1267,NEAT1,CCDC50
hsa-miR-1267,NEAT1,CERS4
hsa-miR-1267,NEAT1,IBA57
hsa-miR-1267,NEAT1,DDX6
hsa-miR-1267,NEAT1,GREB1L
hsa-miR-1267,NEAT1,THAP6
hsa-miR-1267,NEAT1,RBM23
hsa-miR-1267,NEAT1,CAND1
hsa-miR-1267,NEAT1,KIAA0100
hsa-miR-1267,NEAT1,REPS1
hsa-miR-1267,NEAT1,CUL2
hsa-miR-1267,NEAT1,AAED1
hsa-miR-1267,NEAT1,IFT43
hsa-miR-1267,NEAT1,SCIN
hsa-miR-1267,NEAT1,DZIP1L
hsa-miR-1267,NEAT1,NFX1
hsa-miR-1267,NEAT1,WEE1
hsa-miR-1267,NEAT1,TCEANC2
hsa-miR-1267,NEAT1,PABPN1
hsa-miR-1267,NEAT1,GOLGB1
hsa-miR-1267,NEAT1,SERP1
hsa-miR-1267,NEAT1,ICAM1
hsa-miR-1267,NEAT1,SLC38A2
hsa-miR-1267,NEAT1,SYNCRIP
hsa-miR-1267,NEAT1,KDELR1
hsa-miR-1267,NEAT1,MAPK14
hsa-miR-1267,NEAT1,LRCH3
hsa-miR-1267,NEAT1,ESYT2
hsa-miR-1267,NEAT1,MVK
hsa-miR-1267,NEAT1,ZNF154
hsa-miR-1267,NEAT1,CEP128
hsa-miR-1267,NEAT1,TBX18
hsa-miR-1267,NEAT1,SBNO1
hsa-miR-1267,NEAT1,ARFGEF1
hsa-miR-1267,NEAT1,LRRC2
hsa-miR-1267,NEAT1,SLC1A5
hsa-miR-1267,NEAT1,ARRDC4
hsa-miR-1267,NEAT1,PLSCR1
hsa-miR-1267,NEAT1,AKAP5
hsa-miR-1267,NEAT1,ERVMER34-1
hsa-miR-1267,NEAT1,PLA2G16
hsa-miR-1267,NEAT1,FAT1
hsa-miR-1267,NEAT1,DPY19L4
hsa-miR-1267,NEAT1,KNOP1
hsa-miR-1267,NEAT1,VCAN
hsa-miR-1267,NEAT1,VKORC1L1
hsa-miR-1267,NEAT1,PARVB
hsa-miR-1267,NEAT1,KIAA1143
hsa-miR-1267,NEAT1,ESRRA
hsa-miR-1267,NEAT1,WHSC1L1
hsa-miR-1267,NEAT1,TRIB1
hsa-miR-1267,NEAT1,CCDC127
hsa-miR-1267,NEAT1,PRKAR2A
hsa-miR-1267,NEAT1,SEC62
hsa-miR-1267,NEAT1,ORAI2
hsa-miR-1267,NEAT1,DHCR24
hsa-miR-1267,NEAT1,DFFA
hsa-miR-1267,NEAT1,SF3A1
hsa-miR-1267,NEAT1,ZNF711
hsa-miR-1267,NEAT1,FANCC
hsa-miR-1267,NEAT1,HS3ST1
hsa-miR-1267,NEAT1,RBAK
hsa-miR-1267,NEAT1,WHSC1
hsa-miR-1267,NEAT1,HIPK1
hsa-miR-1267,NEAT1,TEP1
hsa-miR-1267,NEAT1,INSIG1
